Date,Close,Open,High,Low,% Change,% Change Predict
3/29/2005,426.38,426.12,426.38,426.38,0.12%,0.00%
3/30/2005,426.38,426.12,426.38,426.38,0.00%,0.49%
3/31/2005,428.45,426.6,428.45,428.45,0.49%,-0.54%
4/1/2005,426.15,428.35,426.15,426.15,-0.54%,-0.43%
4/4/2005,424.32,425.88,424.32,424.32,-0.43%,0.17%
4/5/2005,425.05,424.35,425.05,425.05,0.17%,0.40%
4/6/2005,426.77,424.88,426.77,426.77,0.40%,-0.18%
4/7/2005,426.02,426.77,426.02,426.02,-0.18%,-0.21%
4/8/2005,425.12,425.62,425.12,425.12,-0.21%,0.71%
4/11/2005,428.12,426.88,428.12,428.12,0.71%,0.03%
4/12/2005,428.25,428.65,428.25,428.25,0.03%,0.20%
4/13/2005,429.12,428.57,429.12,429.12,0.20%,-1.19%
4/14/2005,424.02,429.18,424.02,424.02,-1.19%,0.23%
4/15/2005,425,423.7,425,425,0.23%,0.53%
4/18/2005,427.25,424.5,427.25,427.25,0.53%,1.48%
4/19/2005,433.57,426.98,433.57,433.57,1.48%,0.28%
4/20/2005,434.77,433.77,434.77,434.77,0.28%,-0.51%
4/21/2005,432.57,434.68,432.57,432.57,-0.51%,0.47%
4/22/2005,434.6,432.8,434.6,434.6,0.47%,0.01%
4/25/2005,434.65,433.95,434.65,434.65,0.01%,0.57%
4/26/2005,437.12,436.12,437.12,437.12,0.57%,-1.11%
4/27/2005,432.27,436.12,432.27,432.27,-1.11%,-0.25%
4/28/2005,431.18,432.88,431.18,431.18,-0.25%,0.86%
4/29/2005,434.88,431.57,434.88,434.88,0.86%,-1.13%
5/2/2005,429.98,434.38,429.98,429.98,-1.13%,-0.54%
5/3/2005,427.65,428.85,427.65,427.65,-0.54%,0.37%
5/4/2005,429.23,427.68,429.23,429.23,0.37%,0.18%
5/5/2005,430.02,430.07,430.02,430.02,0.18%,-1.00%
5/6/2005,425.73,430.02,425.73,425.73,-1.00%,0.09%
5/9/2005,426.12,426.38,426.12,426.12,0.09%,0.12%
5/10/2005,426.62,426.38,426.62,426.62,0.12%,0.18%
5/11/2005,427.38,426.98,427.38,427.38,0.18%,-1.17%
5/12/2005,422.38,427.68,422.38,422.38,-1.17%,-0.47%
5/13/2005,420.4,422.6,420.4,420.4,-0.47%,-0.21%
5/16/2005,419.5,420.25,419.5,419.5,-0.21%,-0.18%
5/17/2005,418.75,419.85,418.75,418.75,-0.18%,0.66%
5/18/2005,421.5,418.75,421.5,421.5,0.66%,-0.20%
5/19/2005,420.65,421.85,420.65,420.65,-0.20%,-0.68%
5/20/2005,417.77,420.68,417.77,417.77,-0.68%,-0.12%
5/23/2005,417.25,417.65,417.25,417.25,-0.12%,0.18%
5/24/2005,418,417.45,418,418,0.18%,0.37%
5/25/2005,419.55,418.2,419.55,419.55,0.37%,-0.43%
5/26/2005,417.75,418.95,417.75,417.75,-0.43%,0.55%
5/27/2005,420.05,417.85,420.05,420.05,0.55%,-0.31%
5/30/2005,418.75,419.6,418.75,418.75,-0.31%,-0.33%
5/31/2005,417.35,418.85,417.35,417.35,-0.33%,-0.46%
6/1/2005,415.45,417,415.45,415.45,-0.46%,1.49%
6/2/2005,421.65,414.25,421.65,421.65,1.49%,0.19%
6/3/2005,422.45,422.15,422.45,422.45,0.19%,0.84%
6/6/2005,426,422.55,426,426,0.84%,-0.36%
6/7/2005,424.45,426.35,424.45,424.45,-0.36%,-0.21%
6/8/2005,423.55,424.45,423.55,423.55,-0.21%,0.05%
6/9/2005,423.77,423.82,423.77,423.77,0.05%,0.84%
6/10/2005,427.35,423.85,427.35,427.35,0.84%,0.36%
6/13/2005,428.9,425.8,428.9,428.9,0.36%,-0.48%
6/14/2005,426.82,426.88,426.82,426.82,-0.48%,0.43%
